"dataset","pred_len","mse","mae","status","log"
"ETTh1","96","0.3813541829586029","0.4007313549518585","complete","output/repro_ETTh1_96_96.log"
"ETTh1","192","0.43407824635505676","0.4287535548210144","complete","output/repro_ETTh1_96_192.log"
"ETTh1","336","0.4818273186683655","0.4477050304412842","complete","output/repro_ETTh1_96_336.log"
"ETTh1","720","0.4771983325481415","0.4660216271877289","complete","output/repro_ETTh1_96_720.log"
"ETTh2","96","0.2940698266029358","0.3428362011909485","complete","output/repro_ETTh2_96_96.log"
"ETTh2","192","0.39261308312416077","0.40394169092178345","complete","output/repro_ETTh2_96_192.log"
"ETTh2","336","0.43548738956451416","0.43969032168388367","complete","output/repro_ETTh2_96_336.log"
"ETTh2","720","0.42667603492736816","0.44385313987731934","complete","output/repro_ETTh2_96_720.log"
"ETTm1","96","0.31931230425834656","0.35777193307876587","complete","output/repro_ETTm1_96_96.log"
"ETTm1","192","0.36385759711265564","0.3847666382789612","complete","output/repro_ETTm1_96_192.log"
"ETTm1","336","0.39292606711387634","0.4098699390888214","complete","output/repro_ETTm1_96_336.log"
"ETTm1","720","0.46155309677124023","0.4497372508049011","complete","output/repro_ETTm1_96_720.log"
"ETTm2","96","","","failed","output/repro_ETTm2_96_96.log"
"ETTm2","192","0.24010856449604034","0.3008279502391815","complete","output/repro_ETTm2_96_192.log"
"ETTm2","336","0.3001919388771057","0.34027281403541565","complete","output/repro_ETTm2_96_336.log"
"ETTm2","720","0.39724624156951904","0.39894357323646545","complete","output/repro_ETTm2_96_720.log"
"weather","96","0.15417703986167908","0.2008262425661087","complete","output/repro_weather_96_96.log"
"weather","192","0.20656418800354004","0.2498689889907837","complete","output/repro_weather_96_192.log"
"weather","336","0.26110151410102844","0.28944212198257446","complete","output/repro_weather_96_336.log"
"weather","720","0.34719082713127136","0.34530869126319885","complete","output/repro_weather_96_720.log"
"Exchange","96","0.0839693695306778","0.2039143145084381","complete","output/repro_Exchange_96_96.log"
"Exchange","192","0.19693849980831146","0.3158018887042999","complete","output/repro_Exchange_96_192.log"
"Exchange","336","0.34443268179893494","0.42356252670288086","complete","output/repro_Exchange_96_336.log"
"Exchange","720","0.8658554553985596","0.7010391354560852","complete","output/repro_Exchange_96_720.log"
"national_illness","24","1.8965781927108765","0.8893315196037292","complete","output/repro_national_illness_36_24.log"
"national_illness","36","2.026155948638916","0.9172319769859314","complete","output/repro_national_illness_36_36.log"
"national_illness","48","2.3087048530578613","0.9392155408859253","complete","output/repro_national_illness_36_48.log"
"national_illness","60","2.0752110481262207","0.9218010306358337","complete","output/repro_national_illness_36_60.log"
"electricity","96","0.1556714028120041","0.2557368576526642","complete","output/repro_electricity_96_96.log"
"electricity","192","","","failed","output/repro_electricity_96_192.log"
"electricity","336","0.19451531286679175","0.29370054210122115","complete","output/repro_electricity_96_336.log"
"ETTm2","96","0.1782759428024292","0.2624278962612152","complete","output/repro_ETTm2_96_96.log"
"electricity","192","0.16899710426152528","0.266963093862835","complete","output/repro_electricity_96_192.log"
"electricity","720","0.21330969600256736","0.306998303751063","complete","output/repro_electricity_96_720.log"
"traffic","96","0.6700081920443833","0.4392787949852067","complete","output/repro_traffic_96_96.log"
"traffic","192","0.5637615623754769","0.39328509190412375","complete","output/repro_traffic_96_192.log"
"traffic","336","0.5639604802829704","0.38015215023903187","complete","output/repro_traffic_96_336.log"
"traffic","720","0.6307051255780131","0.41845040155759566","complete","output/repro_traffic_96_720.log"
